검색일시,기사일자,제목(원문),제목(직역),제목(의역),링크,해시
05-14 10:33,05-13,OPC publishes text of Privacy Commissioner's keynote address at IAPP CPS 2025,OPC는 IAPP CPS 2025에서 개인 정보 보호 위원의 기조 연설 텍스트를 게시합니다.,OPC는 IAPP CPS 2025에서 개인 정보 보호 위원의 기조 연설 텍스트를 게시합니다.,https://iapp.org/news/a/opc-publishes-text-of-privacy-commissioners-keynote-address-at-iapps-cps-2025,9d372b0153704321a4a328d37db14b1f
05-14 10:33,05-13,OAIC report: 2024 saw record number of data breaches,OAIC 보고서 : 2024는 기록적인 데이터 유출을 보았습니다,OAIC 보고서 : 2024는 기록적인 데이터 유출을 보았습니다,https://iapp.org/news/a/oaic-report-findings-show-2024-saw-record-number-of-data-breaches,188d16bb57cee6327627203a36bf907e
05-14 10:33,05-13,German state DPA calls on Meta to stop training its AI with EU user data,독일 주 DPA는 EU 사용자 데이터로 AI 교육을 중단하기 위해 Meta를 요구합니다.,독일 주 DPA는 EU 사용자 데이터로 AI 교육을 중단하기 위해 Meta를 요구합니다.,https://iapp.org/news/a/german-state-dpa-calls-on-meta-to-stop-training-its-ai-with-eu-user-data,bf30d2f89b5b2e8ed3312c8f767189d5
05-14 10:33,05-13,"Nigeria, Somalia DPAs announce partnership to bolster data protection","나이지리아, 소말리아 DPA는 데이터 보호를 강화하기위한 파트너십을 발표합니다","나이지리아, 소말리아 DPA는 데이터 보호를 강화하기위한 파트너십을 발표합니다",https://iapp.org/news/a/nigeria-somalia-announce-partnership-to-bolster-data-protection,1423ecf23e526ebee1b1809fc237768e
05-14 10:33,05-13,European Commission seeks feedback on its DSA children's privacy framework,유럽위원회는 DSA 어린이 개인 정보 보호 프레임 워크에 대한 피드백을 추구합니다.,유럽위원회는 DSA 어린이 개인 정보 보호 프레임 워크에 대한 피드백을 추구합니다.,https://iapp.org/news/a/european-commission-seeks-feedback-on-its-dsa-childrens-privacy-framework,17c7532149397565b55ab74f8a9d09a7
05-14 10:33,05-13,EDPS highlights data protection guidance for policymakers,EDPS는 정책 입안자의 데이터 보호 지침을 강조합니다,EDPS는 정책 입안자의 데이터 보호 지침을 강조합니다,https://iapp.org/news/a/edps-highlights-data-protection-guidance-for-policymakers,65f9c32e55199a4c924d6cbd06e91d93
05-14 10:33,05-13,Roblox Lawsuit Claims Hidden Tracking Used to Monetize Kids Data,Roblox 소송은 어린이 데이터 수익을 창출하는 데 사용되는 숨겨진 추적을 주장합니다.,Roblox 소송은 어린이 데이터 수익을 창출하는 데 사용되는 숨겨진 추적을 주장합니다.,https://hackread.com/roblox-lawsuit-hidden-tracking-monetize-kids-data/,9e350ad261236adb05bc2a7ace93944e
05-14 10:33,05-13,Anonymous Hackers Steal Flight Data from US Deportation Airline GlobalX,익명 해커는 미국 추방 항공의 비행 데이터를 훔치기,익명 해커는 미국 추방 항공의 비행 데이터를 훔치기,https://hackread.com/anonymous-hackers-flight-data-us-deportation-airline-globalx/,196d44f2ddc8318f95e2f4434b96412f
05-14 10:33,05-13,"FakeUpdates, Remcos, AgentTesla Top Malware Charts in Stealth Attack Surge","가짜 업데이트, remcos, Agenttesla 최고 맬웨어 차트에서 스텔스 공격 서지","가짜 업데이트, remcos, Agenttesla 최고 맬웨어 차트에서 스텔스 공격 서지",https://hackread.com/fakeupdates-remcos-agenttesla-malware-attack-charts/,c20ae464cb4efe9bc263894ed7ddb675
05-14 10:33,05-13,Apple released security updates to fix multiple flaws in iOS and macOS,Apple은 iOS 및 MACOS에서 여러 결함을 수정하기 위해 보안 업데이트를 발표했습니다.,Apple은 iOS 및 MACOS에서 여러 결함을 수정하기 위해 보안 업데이트를 발표했습니다.,https://securityaffairs.com/177748/security/apple-released-security-updates-to-fix-multiple-flaws-in-ios-and-macos.html,d689729ff657ae88be4602263d0bf6b7
05-14 10:33,05-13,M&S says some personal data was taken in cyber-attack,M & S는 일부 개인 데이터가 사이버 공격에서 가져 왔다고 말합니다,M & S는 일부 개인 데이터가 사이버 공격에서 가져 왔다고 말합니다,https://www.theguardian.com/business/2025/may/13/m-and-s-personal-data-cyber-attack-marks-spencer-card-passwords,d3ff6a976444dad0604911f816dba00a
05-15 09:30,05-14,"At AIGG Europe 2025: EU commissioner lays out suite of AI governance, consumer protection goals","AIGG Europe 2025 : EU 커미셔너는 AI 거버넌스, 소비자 보호 목표를 마련합니다.","AIGG Europe 2025 : EU 커미셔너는 AI 거버넌스, 소비자 보호 목표를 마련합니다.",https://iapp.org/news/a/mcgrath-lays-out-suite-of-ai-governance-consumer-protection-goals,b66bcad747e43caeb26d5fc598f5461c
05-15 09:30,05-14,NOYB to seek injunction against Meta over training its AI models with EU users' data,EU 사용자의 데이터로 AI 모델을 훈련시키는 것에 대한 메타에 대한 금지 명령을 찾는 NOYB,EU 사용자의 데이터로 AI 모델을 훈련시키는 것에 대한 메타에 대한 금지 명령을 찾는 NOYB,https://iapp.org/news/a/noyb-to-seek-injunction-against-meta-over-training-its-ai-models-with-eu-users-data,0d6f2f99a6492108fc14a3a6cebaccf7
05-15 09:30,05-14,Cybersecurity entrepreneur sounds alarm over AI agent-perpetrated cyberattacks,사이버 보안 기업가는 AI 에이전트 인식 사이버 공격에 비해 경보를 울립니다,사이버 보안 기업가는 AI 에이전트 인식 사이버 공격에 비해 경보를 울립니다,https://iapp.org/news/a/cybersecurity-entrepreneur-investor-sounds-alarm-over-ai-agent-perpetrated-cyberattacks,17f1679fc317953ff4ae30ce9973ab64
05-15 09:30,05-14,ENISA creates European Vulnerability Database,ENISA는 유럽 취약성 데이터베이스를 만듭니다,ENISA는 유럽 취약성 데이터베이스를 만듭니다,https://iapp.org/news/a/enisa-creates-european-vulnerability-database,e91c4a09503e005ea4eee5a4467d5028
05-15 09:30,05-14,South Korea's PIPC to meet with CPOs regarding data security management,데이터 보안 관리와 관련하여 CPO를 만나기위한 한국의 PIPC,데이터 보안 관리와 관련하여 CPO를 만나기위한 한국의 PIPC,https://iapp.org/news/a/south-koreas-pipc-to-host-meeting-discussing-data-management-systems,38253db2396eb9ca3af14065c55bcfd9
05-15 09:30,05-14,Apple partners with Synchron to advance its brain implant used to control devices,Apple은 Synchron과 파트너가되어 장치를 제어하는 ​​데 사용되는 뇌 임플란트를 발전시킵니다.,Apple은 Synchron과 파트너가되어 장치를 제어하는 ​​데 사용되는 뇌 임플란트를 발전시킵니다.,https://iapp.org/news/a/apple-partners-with-synchron-to-advance-its-brain-implant-used-to-control-devices,95f9f136b441464753255fec47ff42cc
