검색일시,기사일자,제목(원문),제목(직역),제목(의역),링크,해시
05-20 09:00,05-19,US senator urges CFPB to enlist data protection safeguards,미국 상원 의원은 CFPB에게 데이터 보호 보호 수단을 입대 할 것을 촉구합니다,미국 상원 의원은 CFPB에게 데이터 보호 보호 수단을 입대 할 것을 촉구합니다,https://iapp.org/news/a/senator-urges-cfpb-to-enlist-data-protection-safeguards,776b7a73293b364896a0ca82c5dac21e
05-20 09:00,05-19,"Transparency, good data and documentation: how HR can navigate the EU AI Act","투명성, 우수한 데이터 및 문서 : HR이 EU AI Act를 탐색 할 수있는 방법","투명성, 우수한 데이터 및 문서 : HR이 EU AI Act를 탐색 할 수있는 방법",https://iapp.org/news/a/transparency-good-data-and-documentation-how-hr-can-navigate-the-eu-ai-act,32784e2da4050aba7f9a95bd95cd505a
05-20 09:00,05-19,Mind matters: Shaping the future of privacy in the age of neurotechnology,마인드 문제 : 신경 기술 시대에 프라이버시의 미래 형성,마인드 문제 : 신경 기술 시대에 프라이버시의 미래 형성,https://iapp.org/news/a/mind-matters-shaping-the-future-of-privacy-in-the-age-of-neurotechnology,908d9636062b089674a49136e2383300
05-20 09:00,05-19,South Korea's PIPC holds meeting with medical field stakeholders to discuss MyData platform obligations,한국의 PIPC는 의료 현장 이해 관계자와 회의를 개최하여 MyData 플랫폼 의무에 대해 논의합니다.,한국의 PIPC는 의료 현장 이해 관계자와 회의를 개최하여 MyData 플랫폼 의무에 대해 논의합니다.,https://iapp.org/news/a/south-koreas-dpa-holds-meeting-with-medical-field-stakeholders-for-discussing-mydata-platform-obligations,fb6a8379faf2d412b1eb976adf4cddd5
05-20 09:00,05-19,How neurotechnology is being used to help individuals with disabilities,신경 기술이 장애가있는 개인을 돕기 위해 사용되는 방법,신경 기술이 장애가있는 개인을 돕기 위해 사용되는 방법,https://iapp.org/news/a/how-neurotechnology-is-being-used-to-help-individuals-with-disabilities,460a0d0528f426e8bfa94680adbf86f0
05-20 09:00,05-19,Garante issues 5M euro fine to US chatbot developer,Garante는 미국 챗봇 개발자에게 5m 유로를 발행합니다,Garante는 미국 챗봇 개발자에게 5m 유로를 발행합니다,https://iapp.org/news/a/garante-issues-5-million-euros-fine-to-us-chatbot-developer,1142baa5332fc9499379cc37fd0777e3
05-20 09:00,05-19,US appellate court allows Meta's challenge of 2019 FTC consent decree to move forward,미국 항소 법원은 2019 년 FTC 동의 법령에 대한 메타의 도전을 허용합니다.,미국 항소 법원은 2019 년 FTC 동의 법령에 대한 메타의 도전을 허용합니다.,https://iapp.org/news/a/appellate-court-allows-meta-ftc-challenge-to-move-forward,87af1b6938945274592ba357f0e1ffa5
05-20 09:00,05-19,Apple boosts India's factory hopes - but a US-China deal could derail plans,애플은 인도의 공장 희망을 높인다. 그러나 미국 중국 거래는 계획을 탈선시킬 수있다.,애플은 인도의 공장 희망을 높인다. 그러나 미국 중국 거래는 계획을 탈선시킬 수있다.,https://www.bbc.com/news/articles/cly34p1jwvgo,3fa993288c610d582b72994757b95885
05-21 09:00,05-20,EU member states push European Commission to create age-verification system,EU 회원국은 유럽위원회를 추진하여 연령 검증 시스템을 만들도록합니다.,EU 회원국은 유럽위원회를 추진하여 연령 검증 시스템을 만들도록합니다.,https://iapp.org/news/a/france-greece-spain-push-european-commission-to-create-eu-age-verification-system,3dd75093cad5a648cb53176c59447c78
05-21 09:00,05-20,Kenya's DPA publishes Data Protection Act guidance compendium,Kenya의 DPA는 데이터 보호법 안내서 개요를 게시합니다,Kenya의 DPA는 데이터 보호법 안내서 개요를 게시합니다,https://iapp.org/news/a/kenya-debuts-guidance-for-data-protection-act-compliance,f5111440869b65ebca5c35efcde736a0
05-21 09:00,05-20,"Finland's DPA publishes guidance for AI developers, deployers","핀란드의 DPA는 AI 개발자, 배포자를위한 지침을 게시합니다","핀란드의 DPA는 AI 개발자, 배포자를위한 지침을 게시합니다",https://iapp.org/news/a/finlands-dpa-publishes-guidance-for-ai-developers-deployers-to-comply-with-data-protection-laws,9bcaa8dba1abc21d98a2a31e335d481d
05-21 09:00,05-20,ANPD releases results from automated data collection survey,ANPD는 자동 데이터 수집 설문 조사 결과를 출시합니다,ANPD는 자동 데이터 수집 설문 조사 결과를 출시합니다,https://iapp.org/news/a/anpd-releases-results-of-admt-data-collection-survey,2a49fffee99b411f831197dbad595b09
05-21 09:00,05-20,UODO discusses potential GDPR simplification,Uodo는 잠재적 인 GDPR 단순화에 대해 논의합니다,Uodo는 잠재적 인 GDPR 단순화에 대해 논의합니다,https://iapp.org/news/a/uodo-how-the-gdpr-is-applied-not-its-complexity-causes-issues,b7b8fa50239b7d54dee39e81b01ef8de
05-21 09:00,05-20,Survey explores long-term impact of increased US health care data breaches,설문 조사는 미국 의료 데이터 위반 증가의 장기적인 영향을 탐색합니다.,설문 조사는 미국 의료 데이터 위반 증가의 장기적인 영향을 탐색합니다.,https://iapp.org/news/a/how-a-rise-in-data-breaches-could-impact-the-health-care-system-long-term,377132eac2e620d4fece477c6f6e312d
05-21 09:00,05-20,Transcend announces custom privacy operations tool,Transcend는 Custom Privacy Operations 도구를 발표합니다,Transcend는 Custom Privacy Operations 도구를 발표합니다,https://iapp.org/news/a/transcend-announces-custom-privacy-operations-tool,7379800070fcd40ab7b0f04838cecae0
05-21 09:00,05-20,Fortnite faces complaint from actors' union over AI Darth Vader,Fortnite는 Ai Darth Vader에 대한 배우 연합의 불만에 직면합니다.,Fortnite는 Ai Darth Vader에 대한 배우 연합의 불만에 직면합니다.,https://www.bbc.com/news/articles/cn844l3eznqo,acd535c5918c8e734ede9e818ee16af2
05-21 09:00,05-20,Can AI therapists really be an alternative to human help?,AI 치료사가 실제로 인간의 도움의 대안이 될 수 있습니까?,AI 치료사가 실제로 인간의 도움의 대안이 될 수 있습니까?,https://www.bbc.com/news/articles/ced2ywg7246o,ee4ea291f80302b80dcf7ae6c9826615
05-21 09:00,05-20,India's 'Silicon Valley' flooded after heavy rains,인도의 '실리콘 밸리'는 폭우 후 침수되었습니다,인도의 '실리콘 밸리'는 폭우 후 침수되었습니다,https://www.bbc.com/news/articles/c7800l27ynzo,18c93d3802e9afd4aeaeb6bc5961fdaa
05-21 09:00,05-20,Domestic abuse victim data stolen in Legal Aid hack,국내 학대 피해자 데이터는 법률 원조 해킹에서 도난당했습니다,국내 학대 피해자 데이터는 법률 원조 해킹에서 도난당했습니다,https://www.bbc.com/news/articles/cgr5g4pv2l0o,a3804cef242310d348900118bfb698f4
05-21 09:00,05-20,UK’s Legal Aid Agency discloses a data breach following April cyber attack,영국의 법률 지원 기관은 4 월 사이버 공격에 이어 데이터 위반을 공개합니다.,영국의 법률 지원 기관은 4 월 사이버 공격에 이어 데이터 위반을 공개합니다.,https://securityaffairs.com/178088/data-breach/uks-legal-aid-agency-discloses-data-breach-following-april-cyber-attack.html,e39cd7a7a8d17cb3d54f132682345ef4
05-21 09:00,05-20,Research Tracked 1 Malicious Email Every 42 Seconds in 2024,연구는 2024 년에 42 초마다 1 개의 악성 이메일을 추적했습니다.,연구는 2024 년에 42 초마다 1 개의 악성 이메일을 추적했습니다.,https://www.securitymagazine.com/articles/101637-research-tracked-1-malicious-email-every-42-seconds-in-2024,e6d4d852e891ea4ff55333db60f013ba
05-21 09:00,05-20,EU to make GDPR Procedures unworkable,GDPR 절차를 실행할 수없는 EU,GDPR 절차를 실행할 수없는 EU,https://noyb.eu/en/eu-make-gdpr-procedures-unworkable,581f4aabcbab650be9a484d8c5aed3fd
05-21 09:00,05-20,‘People were buying crossbows faster than I’d like’ – how prepping went mainstream in Britain,‘사람들은 내가 원하는 것보다 빨리 석궁을 구매했습니다.’ - 영국에서 준비가 어떻게 주류가되었는지,‘사람들은 내가 원하는 것보다 빨리 석궁을 구매했습니다.’ - 영국에서 준비가 어떻게 주류가되었는지,https://www.theguardian.com/lifeandstyle/2025/may/20/people-are-buying-crossbows-faster-than-id-like-how-prepping-went-mainstream-in-britain,7adfdee2ac134e549328f4537de1baba
05-21 09:00,05-20,"Legal aid hack: data from hundreds of thousands of people accessed, says MoJ",법률 원조 해킹 : 수십만 명의 사람들의 데이터가 접근했다고 Moj는 말합니다.,법률 원조 해킹 : 수십만 명의 사람들의 데이터가 접근했다고 Moj는 말합니다.,https://www.theguardian.com/law/2025/may/19/significant-amount-of-personal-data-accessed-in-legal-aid-agency-data-breach-says-moj,beb84e3c2d8f55e10018d0daa30cadd8
05-21 09:00,05-20,How to protect your data after a cyber-attack,사이버 공격 후 데이터를 보호하는 방법,사이버 공격 후 데이터를 보호하는 방법,https://www.theguardian.com/technology/2025/may/19/how-to-protect-your-data-after-a-cyber-attack,f86ec24b75a398278291bb3e77cbdc98
05-22 09:20,05-21,European Commission proposes to reform portions of GDPR,유럽위원회는 GDPR의 일부를 개혁 할 것을 제안합니다,유럽위원회는 GDPR의 일부를 개혁 할 것을 제안합니다,https://iapp.org/news/a/european-commission-proposes-to-reform-portions-of-gdpr,f047dbe0517a0462780e5afbcc113d59
05-22 09:20,05-21,FTC finalizes order against company over alleged lack of data protection safeguards,FTC는 데이터 보호 보호 부족에 대한 회사에 대한 주문을 완료합니다.,FTC는 데이터 보호 보호 부족에 대한 회사에 대한 주문을 완료합니다.,https://iapp.org/news/a/ftc-finalizes-order-against-company-over-alleged-lack-of-data-protection-safeguards,5849c7522ec44d7337e638c7fcf3b885
05-22 09:20,05-21,Google announces new AI search features,Google은 새로운 AI 검색 기능을 발표합니다,Google은 새로운 AI 검색 기능을 발표합니다,https://iapp.org/news/a/google-announces-new-ai-search-features,bd019f480b6c4f1a9b2133633bb63163
